"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank"
"201","7DMgLZcigcqAwdFncT4DRw","Welcome 2 Detroit Instrumental","https://i.scdn.co/image/cbeb4a7e5139c9d6218efea87112726c77910fb5","2001",2001-01-01,"welcome 2 detroit instrumental",TRUE,1,1,3
"202","7xJ7jHNu3JNfdnao9xwMho","Donuts","https://i.scdn.co/image/1e7fa8198d2dd629ba41f91b9855c4ca8f466073","2006-02-07",2006-02-07,"donuts",TRUE,1,1,4
"203","6hXXKsVVTfDbRTEuHaInI5","The Shining","https://i.scdn.co/image/acf87eb11c653ffc32f67759fe76a70244c98a75","2006-08-21",2006-08-21,"the shining",TRUE,1,1,5
"204","4CjZRdriTNh1CyIEwjzoTB","The Shining Instrumentals","https://i.scdn.co/image/0ba706be40c9e09fd27b8c3cc9e91838ddbc5396","2006-10-16",2006-10-16,"the shining instrumentals",TRUE,1,1,6
"205","6oCNEIjBtMujq1papEFLjc","Jay Deelicious 95-98 - The Delicious Vinyl Years (Originals, Remixes & Rarities)","https://i.scdn.co/image/195044106e24cad62c86d7028f010c63134704ad","2007-01-01",2007-01-01,"jay deelicious 95-98 - the delicious vinyl years (originals, remixes & rarities)",TRUE,1,1,7
"206","2do1Nni1kX3pTUyUeUEIMU","Ruff Draft","https://i.scdn.co/image/6fa20d7bab256fe37e2fc06e190a91bf59271ae0","2007-03-20",2007-03-20,"ruff draft",TRUE,1,1,8
"207","11ekz5eoUy1yJZDSa5pzBv","Dillatroit","https://i.scdn.co/image/d9300d123a25a83fdfc3d5f8f626dec446118811","2013-12-10",2013-12-10,"dillatroit",TRUE,1,1,9
"208","433E9ZkBccrS3BwE9HQTCp","Rebirth of Detroit Instrumentals","https://i.scdn.co/image/0ccecd8ac659b9961280a293f4fb79ad1816c81c","2014-05-06",2014-05-06,"rebirth of detroit instrumentals",TRUE,1,1,10
"209","5dxucrfNPblqH8OdJv3LAo","Lost Tapes, Reels + More","https://i.scdn.co/image/41260f9bbc3ba54cff9c045054fafd9f378e9f13","2015-02-05",2015-02-05,"lost tapes, reels + more",TRUE,1,1,11
"210","3rnppXWBl6wECc3tiLyG16","The King of Beats (Batch #1)","https://i.scdn.co/image/7c765e1ae127367d041d524a4bce4100edb59388","2015-02-07",2015-02-07,"the king of beats (batch #1)",TRUE,1,1,12
"211","3rx0d5EBLCthDV3jWK5TOG","The King of Beats (Batch #2)","https://i.scdn.co/image/25e1e0bda421253c005b6c60e4e4efb109a2b5fc","2015-02-07",2015-02-07,"the king of beats (batch #2)",TRUE,1,1,13
"212","5vDuDvpv9xwrc1T4RUMpG9","The King of Beats (Batch #3)","https://i.scdn.co/image/afc91af33f524ec33b8e4299e9f444ff24e9bb77","2015-02-07",2015-02-07,"the king of beats (batch #3)",TRUE,1,1,14
