album_uri,album_name,artist,release_date,album_type,remove,notes
4HJfoj7ThDvNVJpj0X9klT,Look Back at It (Tiësto and SWACQ Remix),"A Boogie Wit da Hoodie, SWACQ, Tiësto",8/28/19,album,2,
65NFecd93khcFkebyE6l4r,"Mood Swings (Remix) [feat. Youngn Lipz, Creed Tha Kid & Day1]","A Boogie Wit da Hoodie, Youngn Lipz, Creed Tha Kid",9/6/19,album,2,
38n3KJXmdtntBNbuFskewN,Addie Calipari (The Trilogy),A$AP ANT,7/5/19,album,,
5LR9O1oZRRXBtMU8koWrAe,Addie Izzo,A$AP ANT,4/4/19,album,1,duplicate
2rw005pQI5MgHErUdM0PVY,Addie Pitino,A$AP ANT,2/11/19,album,1,duplicate
5XuUCGz2MRTzhTrpkqiPbL,BEST OF A$AP ANT 2017,A$AP ANT,3/19/18,album,1,compilation
2lbF5VQk4vPo73umNUQJXl,FREE FLACKO JODYE,A$AP ANT,7/19/19,album,,
5HGv9qPN09FtjfMpBLMdQU,Gucci Sox,A$AP ANT,5/1/18,album,,
2p19sWgtFt1YUj2GzPDTjj,Lil Black Jean Jacket,A$AP ANT,5/16/18,album,,
5be6tTHEtwHKercE8NcOMN,Mario Cart,A$AP ANT,8/17/18,album,,
6M4NTapToMW9clvejFgCSB,Set Dat Bitch off (feat. Chynna),A$AP ANT,2/6/15,album,,
7d1Zf38b8wfYqakpHqtfgz,Shanghai,A$AP ANT,8/17/18,album,,
5cDZTLhCcTUXVTbmZZz93l,So Clean,A$AP ANT,8/19/16,album,,
2FdlgKr2rHuaWJkyqaE7tQ,The Prelude,A$AP ANT,2/23/18,album,,
679rfe9VplR9TYBVC4wznT,Uber (feat. Soduh & Icce),A$AP ANT,3/16/15,album,,
22D161n1jAAGqvaf7yBWj3,The interlude,"A$AP ANT, DJ Nick",10/12/18,album,,
46TQNfwVYAbKfDbedGn21Y,Now They Notice Us,"A$AP ANT, Lord Fubu",1/29/20,album,,
3ZP2nTdYUvOY6suqdRq8oD,Pharrell,"A$AP ANT, Soduh",7/10/18,album,,
2h5LDCGJCWUyaoEXQZHky6,ALWAYS STRIVE AND PROSPER,A$AP Ferg,6/22/16,album,,
6bI4IQKBcLX0KsTjQ9NR97,Floor Seats,A$AP Ferg,8/16/19,album,,
0tQ7Iu6EicQTPyhYRNWjaT,Still Striving,A$AP Ferg,8/18/17,album,,
3smlfAmejcKMmAPg1G2Kki,Trap Lord,A$AP Ferg,8/19/13,album,,
5k4FGcPa9XZN2IqSPBYICI,Value,A$AP Ferg,1/29/20,album,,
0XLFXhashQVtfchnQ6GiQR,Wigs (feat. Asian Doll),A$AP Ferg,7/12/19,album,,
1opbVvrgNu3y8qFERjLQW1,WAM,"A$AP Ferg, MadeinTYO",7/15/19,album,,
0qr1Fvi1haEDWVbFtekZLb,Cozy Tapes Vol. 2: Too Cozy,A$AP Mob,8/25/17,album,,
3RaACfwYTY9uiDy3VSWLLc,Cozy Tapes: Vol. 1 Friends -,A$AP Mob,10/31/16,album,,
0fPPktynlWuMw4VOFGCS1Y,Feels So Good,A$AP Mob,8/16/17,album,1,duplicate
6hFk3P1kzIsN083A8SqgXm,"Feels So Good (feat. A$AP Ferg, A$AP Nast, A$AP Rocky & A$AP Twelvyy)",A$AP Mob,8/16/17,album,,
2WNrT4HGWNJy7xJCZ92Oot,Hella Hoes,A$AP Mob,6/6/14,album,1,duplicate
04HWLdpkY0sOsIm8wh6o8O,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",A$AP Mob,6/6/14,album,,
25qGbr8e0Mxv2GfyRJHoXq,RAF,A$AP Mob,5/22/17,album,1,duplicate
0Iv5wX7ZgeSMypWT9V4oxO,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,5/23/17,album,,
1ImqgYGNjfTGYEfQMYYbRs,Trillmatic,A$AP Mob,12/4/13,album,,
3IT2LbuYGJsnL3LNgSHUOm,Wrong,A$AP Mob,4/28/17,album,1,duplicate
78B0rb1rWaNLgxrBuCkIdb,Wrong (feat. A$AP Rocky & A$AP Ferg),A$AP Mob,4/28/17,album,,
6f8xb749Pxj9rX7DQqytFs,Xscape,A$AP Mob,4/22/14,album,,
788rHiWVrWzM8dF7IiumCB,Yamborghini High,A$AP Mob,1/29/16,album,,
67Em0g7VkNZGzICh4SZQdY,A$AP Forever (feat. Moby),A$AP Rocky,4/5/18,album,,
3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,A$AP Rocky,5/26/15,album,,
3zOkSAbg9o7gQ3yXtZhx5v,Babushka Boi,A$AP Rocky,8/28/19,album,,
