artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
21 Savage,Slaughter King,44TMQoBzzvSPhOouSxiBdT,Bitch Nigga Please,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,Slaughter King,6BNymc6C7PlRwBzgZBm5dk,Help Me,"NA",16,1HSyuTHvLXMWyPJQGnQTLw,21 Savage,2016-05-16,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,065LHZtJbXDZNAaQ2wQ5Sd,Skrrt Skrrt,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,3IDT2Uym5rKea8YprYyeBt,Pimp,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,4KP63LKrVrEdAK176UJYg8,Gang,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,5BH86QTag2wQ95HSrEGqQX,Picky,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,0ikF7YGnEM1UpPTng3y9iq,Slaughter Ya Daughter,"Key, ILOVEMAKONNEN",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,0Qxo9U5lhJBXSMkjx1nuzm,Drip,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,6IdFmILKYNfeZW9LYE4jhM,Out the Bowl,Key,16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,0xJ6waQuwURRV21Dk13OTG,Drinkin and Driving,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,5W9lZvCYgDESkJrO9pquwX,Start Dyin,Offset,16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,0x33D0zzfOILljMVr54RWs,Fuckin Niggaz Bitches,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,0cmp9n5Wsls5MsasGAQqs6,Million Dollar Liq,ManMan Savage,16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,1jrhaPfJO5Ptp65bOvowI2,Seeing Double,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,1IuLSY7riq1V1miGpKAGlr,Heart So Cold,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
21 Savage,The Slaughter Tape,3wrrgR3oLdbvzcKoKoxyDQ,Woah,"NA",16,3l2umvdEq50qZ5fmw4iHcI,21 Savage,2016-05-15,1URnnhqYAYcrqrcwql10ft
